shannon	d_bw
6.336569724	CDNBW
6.84710503	CDNBW
6.797820572	CDNBW
6.086030926	CDNBW
6.329746534	CDNBW
5.91422393	CDNBW
6.138140443	CDNBW
5.490444548	CDNBW
6.233384882	CDNBW
5.820783659	CDLBW
6.005645988	CDLBW
5.822596691	CDLBW
5.542556297	CDLBW
5.644877896	CDLBW
5.936582516	CDLBW
5.749068059	CDLBW
5.488688917	CDLBW
6.296158543	CDLBW
5.86204741	CDLBW
6.031033993	WDNBW
5.915067824	WDNBW
6.218645942	WDNBW
6.009574412	WDNBW
5.591668021	WDNBW
5.292539225	WDNBW
6.243871501	WDLBW
6.349877104	WDLBW
6.01621918	WDLBW
5.930773854	WDLBW
5.985137565	WDLBW
5.813523019	WDLBW
6.199772909	WDLBW
6.167966176	WDLBW
