	H1f_1	H1f_2	H2f_1	H2f_2	H3f_1	H3f_2	H4m_1	H4m_2	H5m_1	H5m_2	H6m_1	H6m_2	P1f_1	P1f_2	P1f_3	P1f_4	P2f_1s	P2f_2s	P2f_3s	P2f_4s	P3m_1	P3m_2	P3m_3	P3m_4	P4m_1	P4m_2	P4m_3	P4m_4	P5m_1	P5m_2	P5m_3	P5m_4	P6m_1	P6m_2	P6m_3	P6m_4	P7m_1	P7m_2	P7m_3	P7m_4	P8m_1	P8m_2	P8m_3	P8m_4	P9m_1	P9m_2	P9m_3	P9m_4	P10m_1	P10m_2	P10m_3	P10m_4
H1f_1	0.0	0.363741032681	0.213307032041	0.162269729361	0.535018712289	0.62144544936	0.964262402089	0.947821457095	0.866048129893	0.887102579484	0.962615002677	0.932771327077	0.357249626308	0.392040849408	0.559080442966	0.384094613231	0.384358043327	0.415588440381	0.435753772598	0.703440753594	0.994762439207	0.989358271525	0.963421730817	0.986051917861	0.983976261128	0.984009247664	0.978607425692	0.981088421688	0.960950413223	0.966898778888	0.973574749205	0.973342145847	0.94477972239	0.945015576324	0.948204723027	0.928318235526	0.989196117927	0.984475225435	0.974192851744	0.967790364406	0.95664960244	0.957159763314	0.973425080081	0.992596731387	0.991620350577	0.991784573254	0.99199428163	0.991612903226	0.996404370073	0.996318862655	0.995673671199	0.99430319654
H1f_2	0.363741032681	0.0	0.527372013652	0.485646465396	0.356777208992	0.470242468773	0.963921953614	0.953085730243	0.838483787487	0.879009790655	0.973959600876	0.938321811034	0.631344520406	0.654334192231	0.697256385998	0.651094743215	0.648598314056	0.669691804487	0.68382969336	0.846884580509	0.997873955961	0.999035796071	0.976521080535	0.990401146132	0.997334666	0.997449792796	0.987891737892	0.997600274254	0.96303606675	0.960013788349	0.973936562577	0.968617984309	0.946005027872	0.949387381198	0.950027457441	0.923148579413	0.996478356566	0.987591198943	0.980853277836	0.974589930786	0.945999211667	0.936909970067	0.975474317446	0.996866124767	0.997100685293	0.998247663551	0.996762116766	0.995446077417	1.0	0.999484934329	0.99977367885	1.0
H2f_1	0.213307032041	0.527372013652	0.0	0.0694610206712	0.617554096766	0.691786079836	0.978610310599	0.970604320481	0.866433702194	0.893055070148	0.949041921178	0.933213321332	0.264062149847	0.301587301587	0.595703125	0.426781002639	0.305418012199	0.330956706544	0.483787461418	0.639930090733	0.993025407444	0.985281989469	0.943202495451	0.987585176888	0.981438859604	0.97365356623	0.941446262039	0.968421052632	0.967942326866	0.968043412722	0.977455995838	0.974591943395	0.940294914234	0.941724797827	0.952	0.925999750841	0.968909740214	0.978450528686	0.968922809744	0.96269361017	0.970015948963	0.961385384029	0.970139124533	0.972167222945	0.963464859838	0.969121140143	0.968297884604	0.976774898675	0.963189495539	0.965995291656	0.959271299761	0.959495248481
H2f_2	0.162269729361	0.485646465396	0.0694610206712	0.0	0.595629130406	0.676692249188	0.980340578707	0.972509101716	0.862001543607	0.902863202545	0.955483218229	0.936345066743	0.276938098028	0.313258393509	0.579980372915	0.403193077836	0.316355192689	0.350878445936	0.472757406256	0.658576451582	0.995963359727	0.980539947924	0.95597440045	0.990423063632	0.982601626016	0.98090844006	0.947620246789	0.97131316462	0.97101937658	0.97041077775	0.976071015052	0.964501242457	0.954939790237	0.956087824351	0.964509240851	0.942089351696	0.979255643685	0.988018899764	0.98213595983	0.978033721206	0.969571717527	0.963345864662	0.970053677371	0.983401986915	0.978105869644	0.978242677824	0.980840543881	0.983164983165	0.990631755945	0.991530145994	0.9886348619	0.986974033765
H3f_1	0.535018712289	0.356777208992	0.617554096766	0.595629130406	0.0	0.186195826645	0.973269018189	0.954707719768	0.833199464525	0.850469892099	0.941221625178	0.907948779899	0.704500236855	0.722408475258	0.751037675607	0.711801701813	0.701071782401	0.717384831341	0.718069236114	0.866251039069	0.987838321211	0.955639172195	0.888111888112	0.963963963964	0.935682254965	0.934621099554	0.915610676732	0.929806181247	0.937355932203	0.934508153603	0.937979212813	0.904030710173	0.840927769154	0.819838633128	0.783843275369	0.908950914341	0.920389926889	0.885470352439	0.88160572239	0.921936998947	0.947062245492	0.918633034988	0.952971913782	0.937401148756	0.929073482428	0.911213872832	0.933932391955	0.945627493096	0.982726001481	0.98542859267	0.97800545164	0.970170058545
H3f_2	0.62144544936	0.470242468773	0.691786079836	0.676692249188	0.186195826645	0.0	0.969992333808	0.956777996071	0.820396600567	0.839202657807	0.942588127225	0.90289781393	0.763528831937	0.777272516357	0.80153490675	0.765718131129	0.738614046573	0.753536956234	0.751765551656	0.884482029598	0.989692084049	0.956029744585	0.891958670261	0.968946593495	0.938439513243	0.949558985667	0.930281903607	0.925469483568	0.940503432494	0.938679245283	0.941770647653	0.90794557366	0.860230974237	0.831394750386	0.78732155819	0.920376175549	0.858920097473	0.876447876448	0.856465545236	0.882557030098	0.94749009247	0.925258215962	0.960030165913	0.913160010721	0.889614935823	0.882503192848	0.914404049701	0.932924071082	0.979888859487	0.983057556805	0.974335472044	0.963487566887
H4m_1	0.964262402089	0.963921953614	0.978610310599	0.980340578707	0.973269018189	0.969992333808	0.0	0.253845207334	0.5420832447	0.520549970432	0.826906499626	0.791462561232	0.95965076703	0.95829850469	0.94756183162	0.988454322413	0.954887921756	0.957657021877	0.929242488362	0.984941733816	0.994701986755	0.988555387605	0.904354675369	0.96743718593	0.970149253731	0.980107749689	0.93861115332	0.958817473158	0.94738452126	0.949756169647	0.949920508744	0.955525606469	0.692703183706	0.762631470406	0.839253242817	0.859311211138	0.976349614396	0.947528848247	0.83055916775	0.812717164698	0.953303527074	0.949886963075	0.957631927369	0.991768074445	0.985735999065	0.993344425957	0.990597345133	0.990425669556	0.994169611307	0.99397494847	0.990206080392	0.989584977119
H4m_2	0.947821457095	0.953085730243	0.970604320481	0.972509101716	0.954707719768	0.956777996071	0.253845207334	0.0	0.582799634035	0.570050235228	0.775922992567	0.777762693456	0.944519340454	0.946756217453	0.934486914601	0.986666666667	0.933765086841	0.940419644916	0.928101399991	0.976974252635	0.991467316776	0.980181268882	0.883037974684	0.95551729086	0.913392409296	0.928982725528	0.863067572399	0.900550584997	0.863448027382	0.880968858131	0.866007416564	0.868256213376	0.625068478142	0.666169211342	0.754888460479	0.765117908008	0.97674076255	0.937762438884	0.823247411936	0.817197149644	0.866983372922	0.900485998611	0.857209302326	0.981548729021	0.972772931536	0.981834163493	0.980123719704	0.975122659111	0.990709377722	0.978498322869	0.969370391378	0.981682242991
H5m_1	0.866048129893	0.838483787487	0.866433702194	0.862001543607	0.833199464525	0.820396600567	0.5420832447	0.582799634035	0.0	0.316843981206	0.776596694953	0.790902066834	0.792098804529	0.807035403235	0.792385647768	0.87065487275	0.831398436907	0.850547702541	0.826548796254	0.933157330885	0.985804290613	0.976001684092	0.861919861632	0.954303505072	0.864681776365	0.877167157344	0.849092480553	0.8544282321	0.842977357508	0.850969717591	0.933140405149	0.853729977117	0.748791630802	0.763328113297	0.789696328751	0.782285792876	0.985433471689	0.961217413638	0.930482596102	0.950669656384	0.842945230323	0.903467029232	0.874854028805	0.955211877513	0.978732831192	0.972348070614	0.965650059986	0.949136792684	0.991047887669	0.958870647049	0.957812183084	0.986402966625
H5m_2	0.887102579484	0.879009790655	0.893055070148	0.902863202545	0.850469892099	0.839202657807	0.520549970432	0.570050235228	0.316843981206	0.0	0.789777675911	0.79257934734	0.854417304654	0.864575304455	0.86644780498	0.920796793778	0.876585346934	0.883703758399	0.872058194266	0.951370485715	0.992477432297	0.974700204738	0.886925795053	0.961528517503	0.90036900369	0.912983781001	0.890495679854	0.881209310622	0.911979547115	0.884446829443	0.9527842473	0.91922705314	0.743116740088	0.768424036281	0.800205322593	0.820720269206	0.985566672134	0.947687176336	0.902091542892	0.915860856461	0.913708983067	0.924089693479	0.933615091228	0.932905708788	0.958818539369	0.95354543224	0.93382256585	0.957729468599	0.955637472988	0.959713413202	0.949212155318	0.934517719282
