#locus_id	contig	start	stop	annotation
cds0	gi|16763390|ref|NC_003197.1|	190	255	ID=cds0;Name=NP_459006.1;Parent=gene0;Dbxref=Genbank:NP_459006.1,GeneID:1251519;gbkey=CDS;gene=thrL;product=thr operon leader peptide;protein_id=NP_459006.1;transl_table=11;strand=+
cds1	gi|16763390|ref|NC_003197.1|	337	2799	ID=cds1;Name=NP_459007.1;Parent=gene1;Note=multifunctional homotetrameric enzyme that catalyzes the phosphorylation of aspartate to form aspartyl-4-phosphate as well as conversion of aspartate semialdehyde to homoserine%3B functions in a number of amino acid biosynthetic pathways;Dbxref=Genbank:NP_459007.1,GeneID:1251520;gbkey=CDS;gene=thrA;product=bifunctional aspartokinase I%2Fhomoserine dehydrogenase I;protein_id=NP_459007.1;transl_table=11;strand=+
cds2	gi|16763390|ref|NC_003197.1|	2801	3730	ID=cds2;Name=NP_459008.1;Parent=gene2;Note=catalyzes the formation of O-phospho-L-homoserine from L-homoserine in threonine biosynthesis from asparate;Dbxref=Genbank:NP_459008.1,GeneID:1251521;gbkey=CDS;gene=thrB;product=homoserine kinase;protein_id=NP_459008.1;transl_table=11;strand=+
cds3	gi|16763390|ref|NC_003197.1|	3734	5020	ID=cds3;Name=NP_459009.1;Parent=gene3;Note=catalyzes the formation of L-threonine from O-phospho-L-homoserine;Dbxref=Genbank:NP_459009.1,GeneID:1251522;gbkey=CDS;gene=thrC;product=threonine synthase;protein_id=NP_459009.1;transl_table=11;strand=+
cds4	gi|16763390|ref|NC_003197.1|	5114	5887	ID=cds4;Name=NP_459010.1;Parent=gene4;Dbxref=Genbank:NP_459010.1,GeneID:1251523;gbkey=CDS;product=hypothetical protein;protein_id=NP_459010.1;transl_table=11;strand=-
cds5	gi|16763390|ref|NC_003197.1|	5966	7396	ID=cds5;Name=NP_459011.1;Parent=gene5;Dbxref=Genbank:NP_459011.1,GeneID:1251524;gbkey=CDS;gene=yaaJ;product=alanine%2Fglycine transport protein;protein_id=NP_459011.1;transl_table=11;strand=-
cds6	gi|16763390|ref|NC_003197.1|	7665	8618	ID=cds6;Name=NP_459012.1;Parent=gene6;Note=Maintains the balance of metabolites in the pentose-phosphate pathway;Dbxref=Genbank:NP_459012.1,GeneID:1251525;gbkey=CDS;gene=talB;product=transaldolase B;protein_id=NP_459012.1;transl_table=11;strand=+
cds7	gi|16763390|ref|NC_003197.1|	8729	9319	ID=cds7;Name=NP_459013.1;Parent=gene7;Note=forms a trimer%3B related to eukaryotic protein gephyrin%3B functions during molybdenum cofactor biosynthesis;Dbxref=Genbank:NP_459013.1,GeneID:1251526;gbkey=CDS;gene=mogA;product=molybdochetalase;protein_id=NP_459013.1;transl_table=11;strand=+
cds8	gi|16763390|ref|NC_003197.1|	9376	9942	ID=cds8;Name=NP_459014.1;Parent=gene8;Dbxref=Genbank:NP_459014.1,GeneID:1251527;gbkey=CDS;product=hypothetical protein;protein_id=NP_459014.1;transl_table=11;strand=-
cds9	gi|16763390|ref|NC_003197.1|	10092	10805	ID=cds9;Name=NP_459015.1;Parent=gene9;Dbxref=Genbank:NP_459015.1,GeneID:1251528;gbkey=CDS;product=hypothetical protein;protein_id=NP_459015.1;transl_table=11;strand=-
cds10	gi|16763390|ref|NC_003197.1|	10841	11245	ID=cds10;Name=NP_459016.1;Parent=gene10;Dbxref=Genbank:NP_459016.1,GeneID:1251529;gbkey=CDS;product=hypothetical protein;protein_id=NP_459016.1;transl_table=11;strand=-
cds11	gi|16763390|ref|NC_003197.1|	11593	13509	ID=cds11;Name=NP_459017.1;Parent=gene11;Note=heat shock protein 70%3B assists in folding of nascent polypeptide chains%3B refolding of misfolded proteins%3B utilizes ATPase activity to help fold%3B co-chaperones are DnaJ and GrpE%3B multiple copies in some bacteria;Dbxref=Genbank:NP_459017.1,GeneID:1251530;gbkey=CDS;gene=dnaK;product=chaperone protein DnaK;protein_id=NP_459017.1;transl_table=11;strand=+
cds12	gi|16763390|ref|NC_003197.1|	13595	14734	ID=cds12;Name=NP_459018.1;Parent=gene12;Note=chaperone Hsp40%3B co-chaperone with DnaK%3B Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins and by disaggregating proteins%2C also in an autonomous%2C dnaK-independent fashion;Dbxref=Genbank:NP_459018.1,GeneID:1251531;gbkey=CDS;gene=dnaJ;product=chaperone protein DnaJ;protein_id=NP_459018.1;transl_table=11;strand=+
cds13	gi|16763390|ref|NC_003197.1|	15014	15961	ID=cds13;Name=NP_459019.1;Parent=gene13;Dbxref=Genbank:NP_459019.1,GeneID:1251532;gbkey=CDS;product=LysR family transcriptional regulator;protein_id=NP_459019.1;transl_table=11;strand=+
cds14	gi|16763390|ref|NC_003197.1|	16088	16432	ID=cds14;Name=NP_459020.1;Parent=gene14;Dbxref=Genbank:NP_459020.1,GeneID:1251533;gbkey=CDS;product=bacteriophage protein;protein_id=NP_459020.1;transl_table=11;strand=+
cds15	gi|16763390|ref|NC_003197.1|	16493	17026	ID=cds15;Name=NP_459021.1;Parent=gene15;Dbxref=Genbank:NP_459021.1,GeneID:1251534;gbkey=CDS;product=hypothetical protein;protein_id=NP_459021.1;transl_table=11;strand=-
cds16	gi|16763390|ref|NC_003197.1|	17043	17486	ID=cds16;Name=NP_459022.1;Parent=gene16;Dbxref=Genbank:NP_459022.1,GeneID:1251535;gbkey=CDS;product=hypothetical protein;protein_id=NP_459022.1;transl_table=11;strand=-
cds17	gi|16763390|ref|NC_003197.1|	17867	19966	ID=cds17;Name=NP_459023.1;Parent=gene17;Dbxref=Genbank:NP_459023.1,GeneID:1251536;gbkey=CDS;product=exochitinase;protein_id=NP_459023.1;transl_table=11;strand=+
cds18	gi|16763390|ref|NC_003197.1|	20058	23054	ID=cds18;Name=NP_459024.1;Parent=gene18;Dbxref=Genbank:NP_459024.1,GeneID:1251537;gbkey=CDS;product=hydroxymethyltransferase;protein_id=NP_459024.1;transl_table=11;strand=+
cds19	gi|16763390|ref|NC_003197.1|	23335	24039	ID=cds19;Name=NP_459025.1;Parent=gene19;Dbxref=Genbank:NP_459025.1,GeneID:1251538;gbkey=CDS;product=cytoplasmic protein;protein_id=NP_459025.1;transl_table=11;strand=+
cds20	gi|16763390|ref|NC_003197.1|	24469	25011	ID=cds20;Name=NP_459026.1;Parent=gene20;Note=fimbrial subunit;Dbxref=Genbank:NP_459026.1,GeneID:1251539;gbkey=CDS;gene=bcfA;product=fimbrial subunit;protein_id=NP_459026.1;transl_table=11;strand=+
cds21	gi|16763390|ref|NC_003197.1|	25112	25798	ID=cds21;Name=NP_459027.1;Parent=gene21;Note=fimbrial chaperone;Dbxref=Genbank:NP_459027.1,GeneID:1251540;gbkey=CDS;gene=bcfB;product=fimbrial chaperone;protein_id=NP_459027.1;transl_table=11;strand=+
cds22	gi|16763390|ref|NC_003197.1|	25803	28424	ID=cds22;Name=NP_459028.1;Parent=gene22;Note=bovine colonization factor BcfC;Dbxref=Genbank:NP_459028.1,GeneID:1251541;gbkey=CDS;gene=bcfC;product=fimbrial usher;protein_id=NP_459028.1;transl_table=11;strand=+
cds23	gi|16763390|ref|NC_003197.1|	28425	29432	ID=cds23;Name=NP_459029.1;Parent=gene23;Note=fimbrial subunit;Dbxref=Genbank:NP_459029.1,GeneID:1251542;gbkey=CDS;gene=bcfD;product=fimbrial subunit;protein_id=NP_459029.1;transl_table=11;strand=+
cds24	gi|16763390|ref|NC_003197.1|	29433	29978	ID=cds24;Name=NP_459030.1;Parent=gene24;Note=fimbrial subunit;Dbxref=Genbank:NP_459030.1,GeneID:1251543;gbkey=CDS;gene=bcfE;product=fimbrial subunit;protein_id=NP_459030.1;transl_table=11;strand=+
cds25	gi|16763390|ref|NC_003197.1|	29994	30512	ID=cds25;Name=NP_459031.1;Parent=gene25;Note=fimbrial subunit;Dbxref=Genbank:NP_459031.1,GeneID:1251544;gbkey=CDS;gene=bcfF;product=fimbrial subunit;protein_id=NP_459031.1;transl_table=11;strand=+
cds26	gi|16763390|ref|NC_003197.1|	30478	31209	ID=cds26;Name=NP_459032.1;Parent=gene26;Note=fimbrial chaperone;Dbxref=Genbank:NP_459032.1,GeneID:1251545;gbkey=CDS;gene=bcfG;product=fimbrial chaperone;protein_id=NP_459032.1;transl_table=11;strand=+
